NomeProduto,Categoria,Preco,Origem,QuantidadeVendida,Litros,ImpactoAmbiental
Super Oxigênio Puro Eficiente,Oxigênio Líquido,228.0,Local,1069,27.29,9.9
Hiper Oxigênio Puro Verde,Hidrogênio Gasoso,214.0,Importado,1693,,1.48
Avançado Oxigênio Puro Premium,Oxigênio Gasoso,174.0,Local,894,,9.27
Plus Oxigênio Puro Extra,Hidrogênio Líquido,162.0,Importado Especial,1487,14.72,7.19
Exclusivo Oxigênio Puro Extra,Oxigênio Gasoso,227.0,Importado Exclusivo,723,,2.85
Essencial Oxigênio Puro Essencial,Oxigênio Líquido,164.0,Internacional,190,13.94,7.97
Max Oxigênio Puro Verde,Hidrogênio Gasoso,184.0,Nacional Premium,1905,,2.27
Plus Oxigênio Puro Premium,Oxigênio Gasoso,225.0,Importado Especial,260,,8.0
Super Oxigênio Puro Poderoso,Hidrogênio Gasoso,164.0,Nacional Premium,1198,,0.36
Ultra Oxigênio Puro Natural,Hidrogênio Gasoso,196.0,Nacional Premium,1507,,2.24
Max Oxigênio Puro Essencial,Hidrogênio Gasoso,177.0,Importado Especial,1975,,9.99
Exclusivo Oxigênio Puro Extra,Hidrogênio Líquido,200.0,Nacional Premium,1013,63.88,5.5
Ultra Oxigênio Puro Avançado,Oxigênio Líquido,168.0,Local,402,46.96,1.81
Essencial Oxigênio Puro Natural,Hidrogênio Líquido,186.0,Nacional Premium,59,28.52,4.65
Ultra Oxigênio Puro Avançado,Oxigênio Gasoso,216.0,Importado Especial,1979,,8.17
Super Oxigênio Puro Verde,Oxigênio Líquido,188.0,Importado Exclusivo,1967,47.48,6.94
Hiper Oxigênio Puro Avançado,Hidrogênio Gasoso,223.0,Importado,745,,7.11
Plus Oxigênio Puro Poderoso,Oxigênio Líquido,212.0,Importado Especial,1558,50.33,2.48
Super Oxigênio Puro Essencial,Hidrogênio Líquido,206.0,Importado Especial,221,27.04,7.04
Super Oxigênio Puro Essencial,Oxigênio Gasoso,175.0,Importado,1376,,4.79
Exclusivo Oxigênio Puro Essencial,Hidrogênio Gasoso,180.0,Internacional,1631,,9.28
Super Oxigênio Puro Verde,Hidrogênio Líquido,217.0,Importado Exclusivo,709,87.29,4.16
Mega Oxigênio Puro Avançado,Hidrogênio Líquido,204.0,Importado,1834,20.52,1.89
Ultra Oxigênio Puro Eficiente,Oxigênio Líquido,220.0,Importado Especial,463,41.81,1.85
Ultra Oxigênio Puro Poderoso,Oxigênio Líquido,184.0,Internacional,1024,89.31,5.54
Max Oxigênio Puro Poderoso,Hidrogênio Líquido,213.0,Importado,1268,48.78,1.93
Hiper Oxigênio Puro Natural,Oxigênio Gasoso,187.0,Local,1773,,5.32
Super Oxigênio Puro Avançado,Hidrogênio Gasoso,228.0,Internacional,1537,,8.76
Hiper Oxigênio Puro Avançado,Hidrogênio Gasoso,230.0,Importado,1208,,2.33
Exclusivo Oxigênio Puro Essencial,Oxigênio Líquido,206.0,Importado,633,99.74,6.06
Exclusivo Oxigênio Puro Verde,Hidrogênio Gasoso,222.0,Importado Especial,446,,1.72
Max Oxigênio Puro Verde,Oxigênio Gasoso,208.0,Importado Especial,1562,,0.16
Avançado Oxigênio Puro Verde,Oxigênio Gasoso,196.0,Importado,1843,,4.89
Avançado Oxigênio Puro Puro,Oxigênio Líquido,206.0,Internacional,175,78.74,3.43
Exclusivo Oxigênio Puro Natural,Hidrogênio Líquido,199.0,Importado,1631,16.58,1.49
Hiper Oxigênio Puro Premium,Oxigênio Gasoso,207.0,Local,535,,9.02
Exclusivo Oxigênio Puro Poderoso,Hidrogênio Gasoso,162.0,Nacional Premium,612,,0.18
Exclusivo Oxigênio Puro Poderoso,Oxigênio Líquido,229.0,Importado,104,45.01,6.77
Hiper Oxigênio Puro Eficiente,Hidrogênio Líquido,186.0,Importado,279,81.75,5.85
Super Oxigênio Puro Eficiente,Oxigênio Gasoso,192.0,Importado Exclusivo,1090,,5.81
Max Oxigênio Puro Essencial,Hidrogênio Gasoso,209.0,Importado Exclusivo,1194,,7.69
Plus Oxigênio Puro Avançado,Oxigênio Gasoso,170.0,Importado Especial,861,,3.73
Mega Oxigênio Puro Eficiente,Hidrogênio Gasoso,198.0,Importado Especial,723,,8.06
Hiper Oxigênio Puro Puro,Oxigênio Líquido,223.0,Local,1929,61.07,2.9
Hiper Oxigênio Puro Essencial,Hidrogênio Líquido,164.0,Importado Especial,849,75.83,7.3
Avançado Oxigênio Puro Premium,Oxigênio Gasoso,200.0,Importado,1015,,7.21
Ultra Oxigênio Puro Puro,Oxigênio Gasoso,209.0,Importado Especial,591,,3.95
Plus Oxigênio Puro Eficiente,Hidrogênio Gasoso,184.0,Importado Especial,973,,9.79
Hiper Oxigênio Puro Extra,Oxigênio Gasoso,201.0,Importado,595,,9.58
Ultra Oxigênio Puro Poderoso,Hidrogênio Gasoso,163.0,Importado,487,,4.36
Mega Oxigênio Puro Poderoso,Oxigênio Líquido,194.0,Nacional Premium,1299,66.67,2.9
Hiper Oxigênio Puro Premium,Oxigênio Gasoso,166.0,Importado Especial,202,,8.47
Hiper Oxigênio Puro Natural,Hidrogênio Líquido,228.0,Local,813,71.88,2.25
Essencial Oxigênio Puro Verde,Hidrogênio Gasoso,201.0,Importado,93,,3.08
Exclusivo Oxigênio Puro Extra,Hidrogênio Gasoso,198.0,Importado Exclusivo,581,,7.45
Ultra Oxigênio Puro Natural,Hidrogênio Líquido,209.0,Importado Especial,583,18.84,8.84
Mega Oxigênio Puro Verde,Hidrogênio Líquido,197.0,Nacional Premium,436,39.55,2.78
Super Oxigênio Puro Extra,Oxigênio Gasoso,202.0,Local,1331,,5.63
Hiper Oxigênio Puro Eficiente,Oxigênio Líquido,188.0,Nacional Premium,1521,12.56,3.4
Mega Oxigênio Puro Premium,Hidrogênio Gasoso,164.0,Importado Exclusivo,1980,,0.74
Exclusivo Oxigênio Puro Natural,Oxigênio Gasoso,191.0,Internacional,1024,,1.84
Essencial Oxigênio Puro Poderoso,Hidrogênio Gasoso,200.0,Importado Exclusivo,1537,,4.64
Mega Oxigênio Puro Verde,Hidrogênio Gasoso,189.0,Nacional Premium,1202,,0.31
Ultra Oxigênio Puro Poderoso,Hidrogênio Líquido,196.0,Nacional Premium,1893,27.68,6.35
Super Oxigênio Puro Extra,Oxigênio Gasoso,192.0,Local,689,,1.52
Mega Oxigênio Puro Natural,Oxigênio Líquido,160.0,Local,1148,37.57,0.18
Mega Oxigênio Puro Verde,Hidrogênio Gasoso,175.0,Importado Especial,1062,,4.54
Mega Oxigênio Puro Poderoso,Hidrogênio Gasoso,220.0,Nacional Premium,1598,,5.63
Hiper Oxigênio Puro Extra,Hidrogênio Gasoso,197.0,Nacional Premium,1883,,2.73
Essencial Oxigênio Puro Puro,Hidrogênio Gasoso,174.0,Local,1942,,6.87
Essencial Oxigênio Puro Extra,Hidrogênio Líquido,183.0,Importado Especial,1165,78.26,5.73
Mega Oxigênio Puro Avançado,Oxigênio Gasoso,213.0,Importado Especial,50,,6.19
Avançado Oxigênio Puro Premium,Oxigênio Líquido,161.0,Importado Exclusivo,1868,68.55,4.12
Max Oxigênio Puro Poderoso,Oxigênio Líquido,174.0,Local,1247,96.14,8.59
Plus Oxigênio Puro Verde,Oxigênio Gasoso,217.0,Local,538,,0.65
Ultra Oxigênio Puro Verde,Oxigênio Gasoso,226.0,Importado Especial,1849,,6.0
Super Oxigênio Puro Extra,Oxigênio Gasoso,162.0,Importado Exclusivo,953,,6.19
Max Oxigênio Puro Natural,Hidrogênio Líquido,189.0,Importado Especial,1057,66.95,6.12
Ultra Oxigênio Puro Eficiente,Oxigênio Líquido,230.0,Importado Especial,1898,83.09,4.04
Ultra Oxigênio Puro Extra,Hidrogênio Gasoso,186.0,Importado Exclusivo,139,,5.71
Ultra Oxigênio Puro Essencial,Oxigênio Gasoso,172.0,Importado,670,,1.74
Exclusivo Oxigênio Puro Eficiente,Oxigênio Gasoso,195.0,Importado Exclusivo,1550,,2.9
Ultra Oxigênio Puro Puro,Oxigênio Líquido,224.0,Importado,677,57.45,8.96
Essencial Oxigênio Puro Extra,Oxigênio Gasoso,186.0,Internacional,238,,9.44
Plus Oxigênio Puro Essencial,Oxigênio Gasoso,163.0,Importado Exclusivo,758,,7.19
Essencial Oxigênio Puro Verde,Hidrogênio Gasoso,179.0,Nacional Premium,600,,7.12
Super Oxigênio Puro Verde,Oxigênio Líquido,195.0,Nacional Premium,693,58.23,1.85
Exclusivo Oxigênio Puro Eficiente,Oxigênio Gasoso,186.0,Importado Especial,1660,,9.87
Exclusivo Oxigênio Puro Essencial,Hidrogênio Gasoso,191.0,Importado Especial,811,,6.79
Mega Oxigênio Puro Premium,Hidrogênio Líquido,221.0,Internacional,184,34.74,7.22
Avançado Oxigênio Puro Extra,Hidrogênio Líquido,164.0,Importado Exclusivo,1317,49.12,9.61
Hiper Oxigênio Puro Verde,Oxigênio Gasoso,203.0,Importado,510,,2.29
Max Oxigênio Puro Avançado,Hidrogênio Gasoso,208.0,Importado,1953,,4.9
Mega Oxigênio Puro Natural,Oxigênio Líquido,217.0,Importado,1051,32.94,1.67
Avançado Oxigênio Puro Puro,Oxigênio Gasoso,161.0,Local,1173,,7.69
Avançado Oxigênio Puro Avançado,Oxigênio Líquido,204.0,Internacional,1787,52.7,8.33
Exclusivo Oxigênio Puro Avançado,Oxigênio Gasoso,218.0,Internacional,1919,,5.3
Exclusivo Oxigênio Puro Eficiente,Oxigênio Líquido,177.0,Importado Especial,744,77.98,5.39
Super Oxigênio Puro Eficiente,Oxigênio Líquido,227.0,Importado,1519,32.99,4.82
Essencial Oxigênio Puro Avançado,Hidrogênio Líquido,164.0,Importado Exclusivo,426,45.4,5.17
Hiper Oxigênio Puro Verde,Hidrogênio Gasoso,166.0,Importado Exclusivo,1045,,3.23
Essencial Oxigênio Puro Eficiente,Oxigênio Gasoso,165.0,Importado,963,,2.99
Super Oxigênio Puro Essencial,Oxigênio Gasoso,183.0,Importado Exclusivo,1658,,0.47
Plus Oxigênio Puro Verde,Hidrogênio Gasoso,213.0,Nacional Premium,986,,8.91
Exclusivo Oxigênio Puro Puro,Hidrogênio Gasoso,208.0,Internacional,1840,,2.52
Hiper Oxigênio Puro Eficiente,Hidrogênio Líquido,198.0,Local,482,71.88,2.3
Max Oxigênio Puro Avançado,Hidrogênio Líquido,190.0,Internacional,420,68.44,5.55
Mega Oxigênio Puro Avançado,Oxigênio Gasoso,189.0,Local,1341,,4.7
Avançado Oxigênio Puro Essencial,Oxigênio Gasoso,170.0,Importado Especial,1808,,0.34
Hiper Oxigênio Puro Eficiente,Hidrogênio Líquido,165.0,Importado Especial,1633,33.61,9.58
Ultra Oxigênio Puro Poderoso,Hidrogênio Líquido,212.0,Importado,338,55.19,1.29
Mega Oxigênio Puro Verde,Hidrogênio Líquido,174.0,Importado Especial,1150,50.69,6.25
Hiper Oxigênio Puro Premium,Hidrogênio Líquido,202.0,Importado Exclusivo,392,16.61,5.83
Avançado Oxigênio Puro Puro,Oxigênio Gasoso,179.0,Local,1526,,5.28
Max Oxigênio Puro Essencial,Hidrogênio Gasoso,169.0,Internacional,267,,3.97
Hiper Oxigênio Puro Eficiente,Hidrogênio Líquido,172.0,Importado Especial,684,72.42,2.44
Hiper Oxigênio Puro Premium,Oxigênio Líquido,205.0,Local,786,45.77,7.17
Essencial Oxigênio Puro Eficiente,Oxigênio Gasoso,170.0,Importado,524,,7.88
Exclusivo Oxigênio Puro Avançado,Oxigênio Líquido,160.0,Importado Exclusivo,477,41.28,7.01
Ultra Oxigênio Puro Poderoso,Oxigênio Líquido,219.0,Importado Exclusivo,799,59.05,0.68
Avançado Oxigênio Puro Essencial,Oxigênio Líquido,218.0,Importado,1202,57.58,1.99
Hiper Oxigênio Puro Eficiente,Hidrogênio Líquido,164.0,Importado,894,66.33,3.68
Plus Oxigênio Puro Premium,Oxigênio Líquido,223.0,Nacional Premium,1624,18.19,7.2
Avançado Oxigênio Puro Premium,Oxigênio Gasoso,205.0,Importado Especial,671,,7.46
Max Oxigênio Puro Puro,Hidrogênio Gasoso,216.0,Internacional,1662,,1.61
Super Oxigênio Puro Puro,Hidrogênio Líquido,204.0,Local,1808,31.3,0.35
Ultra Oxigênio Puro Natural,Hidrogênio Líquido,212.0,Importado Especial,1183,21.0,7.16
Exclusivo Oxigênio Puro Puro,Hidrogênio Gasoso,225.0,Importado Exclusivo,970,,9.06
Mega Oxigênio Puro Eficiente,Oxigênio Gasoso,181.0,Importado Especial,1424,,7.79
Essencial Oxigênio Puro Natural,Hidrogênio Gasoso,198.0,Importado Especial,481,,5.25
Mega Oxigênio Puro Premium,Oxigênio Líquido,182.0,Local,1661,60.9,6.45
Max Oxigênio Puro Puro,Oxigênio Líquido,196.0,Internacional,156,91.28,9.89
Mega Oxigênio Puro Essencial,Hidrogênio Líquido,205.0,Importado Exclusivo,1187,66.73,3.99
Max Oxigênio Puro Eficiente,Hidrogênio Líquido,210.0,Importado Exclusivo,229,18.84,6.12
Super Oxigênio Puro Verde,Hidrogênio Líquido,195.0,Importado,716,91.52,0.15
Ultra Oxigênio Puro Eficiente,Oxigênio Gasoso,198.0,Importado,1492,,5.93
Hiper Oxigênio Puro Poderoso,Oxigênio Gasoso,181.0,Importado Especial,1116,,9.52
Avançado Oxigênio Puro Essencial,Oxigênio Gasoso,173.0,Local,1512,,6.18
Avançado Oxigênio Puro Natural,Hidrogênio Gasoso,187.0,Internacional,445,,4.17
Ultra Oxigênio Puro Premium,Oxigênio Gasoso,222.0,Nacional Premium,1290,,8.15
Mega Oxigênio Puro Avançado,Hidrogênio Gasoso,172.0,Importado,777,,0.1
Max Oxigênio Puro Premium,Oxigênio Líquido,170.0,Local,858,83.34,0.56
Max Oxigênio Puro Verde,Hidrogênio Líquido,184.0,Nacional Premium,906,43.53,5.15
Super Oxigênio Puro Poderoso,Oxigênio Líquido,219.0,Local,1602,87.34,4.22
Super Oxigênio Puro Extra,Oxigênio Gasoso,206.0,Importado Especial,1081,,5.22
Ultra Oxigênio Puro Essencial,Hidrogênio Gasoso,189.0,Internacional,1488,,9.75
Mega Oxigênio Puro Natural,Oxigênio Líquido,217.0,Importado,1687,33.72,0.01
Essencial Oxigênio Puro Eficiente,Hidrogênio Gasoso,174.0,Importado Exclusivo,1716,,9.82
Ultra Oxigênio Puro Avançado,Hidrogênio Líquido,195.0,Nacional Premium,1264,20.57,1.17
Avançado Oxigênio Puro Avançado,Hidrogênio Gasoso,202.0,Importado Exclusivo,104,,3.6
Max Oxigênio Puro Poderoso,Oxigênio Líquido,217.0,Importado Especial,456,27.82,0.46
Plus Oxigênio Puro Extra,Hidrogênio Gasoso,189.0,Importado,1263,,3.93
Avançado Oxigênio Puro Verde,Hidrogênio Líquido,207.0,Importado,558,88.56,0.99
Essencial Oxigênio Puro Essencial,Oxigênio Líquido,161.0,Importado Exclusivo,1327,55.29,4.32
Plus Oxigênio Puro Verde,Oxigênio Gasoso,227.0,Importado,296,,5.12
Mega Oxigênio Puro Poderoso,Oxigênio Líquido,212.0,Internacional,1929,59.71,4.85
Hiper Oxigênio Puro Avançado,Hidrogênio Gasoso,201.0,Nacional Premium,995,,7.35
Hiper Oxigênio Puro Essencial,Oxigênio Líquido,206.0,Importado Especial,517,85.75,2.41
Super Oxigênio Puro Avançado,Hidrogênio Líquido,227.0,Internacional,140,71.73,8.74
Ultra Oxigênio Puro Eficiente,Hidrogênio Líquido,180.0,Nacional Premium,758,75.94,6.42
Mega Oxigênio Puro Poderoso,Hidrogênio Gasoso,212.0,Importado Especial,718,,4.55
Hiper Oxigênio Puro Eficiente,Hidrogênio Líquido,228.0,Importado Especial,1449,70.72,1.3
Mega Oxigênio Puro Puro,Hidrogênio Gasoso,164.0,Local,593,,6.1
Mega Oxigênio Puro Puro,Hidrogênio Líquido,190.0,Importado Especial,818,8.19,0.15
Plus Oxigênio Puro Eficiente,Oxigênio Gasoso,197.0,Importado Exclusivo,1912,,7.15
Hiper Oxigênio Puro Puro,Hidrogênio Líquido,178.0,Nacional Premium,1528,8.54,4.75
Avançado Oxigênio Puro Puro,Hidrogênio Gasoso,185.0,Importado,1006,,9.68
Avançado Oxigênio Puro Extra,Hidrogênio Gasoso,181.0,Importado,623,,2.71
Avançado Oxigênio Puro Verde,Hidrogênio Gasoso,229.0,Nacional Premium,1037,,7.27
Ultra Oxigênio Puro Premium,Hidrogênio Gasoso,185.0,Importado Especial,1939,,9.85
Avançado Oxigênio Puro Essencial,Hidrogênio Gasoso,225.0,Importado Especial,1116,,2.37
Hiper Oxigênio Puro Puro,Hidrogênio Líquido,224.0,Importado,695,27.49,0.7
Hiper Oxigênio Puro Verde,Hidrogênio Líquido,194.0,Importado,822,84.77,7.66
Hiper Oxigênio Puro Eficiente,Oxigênio Gasoso,176.0,Importado,437,,6.12
Ultra Oxigênio Puro Verde,Oxigênio Gasoso,172.0,Importado Exclusivo,1969,,3.3
Hiper Oxigênio Puro Verde,Hidrogênio Líquido,206.0,Local,834,41.04,7.9
Plus Oxigênio Puro Premium,Oxigênio Gasoso,164.0,Internacional,1637,,6.81
Ultra Oxigênio Puro Premium,Oxigênio Líquido,173.0,Importado Especial,1512,67.68,0.3
Avançado Oxigênio Puro Natural,Oxigênio Gasoso,225.0,Internacional,437,,0.51
Plus Oxigênio Puro Premium,Hidrogênio Líquido,218.0,Nacional Premium,416,23.46,8.02
Hiper Oxigênio Puro Essencial,Oxigênio Líquido,197.0,Importado Exclusivo,652,85.72,9.33
Max Oxigênio Puro Avançado,Oxigênio Gasoso,192.0,Importado Especial,1760,,8.95
Max Oxigênio Puro Extra,Hidrogênio Líquido,171.0,Local,956,83.5,3.99
Plus Oxigênio Puro Eficiente,Oxigênio Gasoso,215.0,Importado Especial,447,,1.55
Max Oxigênio Puro Essencial,Oxigênio Líquido,226.0,Importado Exclusivo,824,9.25,4.28
Essencial Oxigênio Puro Puro,Oxigênio Líquido,176.0,Importado,1071,43.85,6.01
Super Oxigênio Puro Extra,Oxigênio Gasoso,230.0,Importado,1250,,3.66
Super Oxigênio Puro Verde,Oxigênio Líquido,219.0,Importado Especial,500,62.17,1.13
Essencial Oxigênio Puro Verde,Oxigênio Líquido,213.0,Local,1414,42.55,2.48
Ultra Oxigênio Puro Eficiente,Oxigênio Gasoso,175.0,Importado,1445,,1.88
Max Oxigênio Puro Poderoso,Oxigênio Líquido,207.0,Nacional Premium,1632,69.88,6.75
Avançado Oxigênio Puro Premium,Oxigênio Gasoso,217.0,Nacional Premium,383,,2.6
Ultra Oxigênio Puro Natural,Oxigênio Gasoso,172.0,Nacional Premium,1998,,7.64
Exclusivo Oxigênio Puro Natural,Hidrogênio Gasoso,229.0,Internacional,1943,,3.46
Avançado Oxigênio Puro Poderoso,Hidrogênio Gasoso,215.0,Nacional Premium,718,,7.16
Mega Oxigênio Puro Extra,Hidrogênio Gasoso,214.0,Importado,167,,3.54
Hiper Oxigênio Puro Avançado,Hidrogênio Gasoso,216.0,Importado Exclusivo,1338,,1.39
Ultra Oxigênio Puro Avançado,Oxigênio Gasoso,171.0,Internacional,913,,7.86
Max Oxigênio Puro Essencial,Oxigênio Gasoso,220.0,Local,1897,,9.71
Essencial Oxigênio Puro Puro,Hidrogênio Gasoso,224.0,Internacional,1229,,5.37
Essencial Oxigênio Puro Poderoso,Hidrogênio Líquido,192.0,Nacional Premium,419,53.54,3.53
Max Oxigênio Puro Natural,Oxigênio Líquido,200.0,Local,1534,24.28,1.31
Ultra Oxigênio Puro Premium,Hidrogênio Líquido,165.0,Importado,993,64.77,5.45
Avançado Oxigênio Puro Premium,Hidrogênio Gasoso,181.0,Internacional,1322,,2.7
Mega Oxigênio Puro Premium,Hidrogênio Gasoso,171.0,Importado Exclusivo,1475,,7.51
Exclusivo Oxigênio Puro Essencial,Hidrogênio Líquido,187.0,Importado Especial,402,88.7,7.03
Avançado Oxigênio Puro Eficiente,Hidrogênio Líquido,217.0,Importado,1465,86.55,9.5
Mega Oxigênio Puro Extra,Oxigênio Líquido,215.0,Importado,555,7.6,6.7
Hiper Oxigênio Puro Extra,Oxigênio Gasoso,186.0,Local,458,,9.75
Super Oxigênio Puro Premium,Hidrogênio Líquido,230.0,Nacional Premium,518,35.22,9.86
Avançado Oxigênio Puro Essencial,Oxigênio Gasoso,195.0,Local,503,,7.86
Essencial Oxigênio Puro Avançado,Oxigênio Líquido,178.0,Importado Exclusivo,1680,9.49,7.21
Ultra Oxigênio Puro Natural,Oxigênio Líquido,211.0,Importado Exclusivo,504,15.34,3.54
Ultra Oxigênio Puro Extra,Oxigênio Gasoso,230.0,Importado Exclusivo,1139,,6.77
Max Oxigênio Puro Eficiente,Hidrogênio Gasoso,229.0,Importado,1726,,8.09
Ultra Oxigênio Puro Extra,Hidrogênio Líquido,219.0,Nacional Premium,1453,40.59,6.03
Hiper Oxigênio Puro Puro,Hidrogênio Gasoso,217.0,Internacional,1550,,2.5
Essencial Oxigênio Puro Natural,Oxigênio Gasoso,170.0,Nacional Premium,1989,,5.07
Super Oxigênio Puro Avançado,Oxigênio Gasoso,193.0,Importado,628,,7.82
Exclusivo Oxigênio Puro Eficiente,Hidrogênio Gasoso,177.0,Internacional,357,,5.21
Plus Oxigênio Puro Puro,Hidrogênio Líquido,175.0,Nacional Premium,1013,61.76,3.0
Max Oxigênio Puro Extra,Oxigênio Gasoso,168.0,Importado Exclusivo,1165,,7.97
Hiper Oxigênio Puro Extra,Oxigênio Gasoso,200.0,Internacional,1743,,2.76
Max Oxigênio Puro Verde,Hidrogênio Líquido,203.0,Nacional Premium,1955,9.54,0.54
Mega Oxigênio Puro Puro,Hidrogênio Líquido,204.0,Importado Especial,779,69.85,9.77
Super Oxigênio Puro Premium,Hidrogênio Líquido,223.0,Importado Especial,556,83.71,1.87
Max Oxigênio Puro Poderoso,Hidrogênio Líquido,194.0,Nacional Premium,1376,18.56,0.43
Essencial Oxigênio Puro Natural,Oxigênio Líquido,226.0,Importado,1142,90.91,3.01
Essencial Oxigênio Puro Avançado,Oxigênio Gasoso,192.0,Nacional Premium,605,,9.26
Ultra Oxigênio Puro Extra,Oxigênio Gasoso,165.0,Importado Exclusivo,1407,,0.79
Mega Oxigênio Puro Avançado,Hidrogênio Líquido,188.0,Importado Especial,1229,71.33,1.48
Avançado Oxigênio Puro Poderoso,Oxigênio Líquido,229.0,Importado,1959,66.02,7.94
Avançado Oxigênio Puro Eficiente,Hidrogênio Líquido,180.0,Internacional,299,52.25,1.35
Exclusivo Oxigênio Puro Extra,Hidrogênio Gasoso,225.0,Nacional Premium,681,,7.86
Exclusivo Oxigênio Puro Avançado,Hidrogênio Líquido,169.0,Internacional,388,21.77,1.33
Ultra Oxigênio Puro Poderoso,Oxigênio Gasoso,173.0,Local,744,,3.33
Mega Oxigênio Puro Eficiente,Oxigênio Líquido,175.0,Importado,1282,65.58,7.61
Mega Oxigênio Puro Puro,Oxigênio Gasoso,194.0,Importado,963,,0.23
Ultra Oxigênio Puro Avançado,Oxigênio Gasoso,169.0,Importado,1695,,4.81
Hiper Oxigênio Puro Eficiente,Hidrogênio Líquido,161.0,Importado Especial,330,10.13,2.67
Essencial Oxigênio Puro Poderoso,Hidrogênio Líquido,220.0,Internacional,1163,20.85,0.26
Ultra Oxigênio Puro Avançado,Hidrogênio Gasoso,202.0,Local,159,,8.35
Hiper Oxigênio Puro Extra,Oxigênio Gasoso,190.0,Importado Especial,536,,1.54
Hiper Oxigênio Puro Eficiente,Hidrogênio Líquido,212.0,Local,1897,80.4,9.0
Essencial Oxigênio Puro Avançado,Oxigênio Líquido,188.0,Importado Exclusivo,1483,17.18,9.83
Mega Oxigênio Puro Verde,Hidrogênio Líquido,209.0,Nacional Premium,1994,9.33,7.88
Ultra Oxigênio Puro Verde,Hidrogênio Líquido,227.0,Importado Especial,1238,19.18,6.77
Essencial Oxigênio Puro Eficiente,Oxigênio Gasoso,198.0,Importado Especial,1279,,1.97
Ultra Oxigênio Puro Eficiente,Oxigênio Líquido,229.0,Importado Especial,636,13.65,6.21
Ultra Oxigênio Puro Puro,Hidrogênio Gasoso,172.0,Importado Exclusivo,495,,2.58
Ultra Oxigênio Puro Verde,Oxigênio Gasoso,218.0,Importado,1203,,7.93
Max Oxigênio Puro Natural,Hidrogênio Líquido,210.0,Internacional,125,87.65,3.35
Avançado Oxigênio Puro Essencial,Oxigênio Gasoso,167.0,Nacional Premium,1680,,4.53
Ultra Oxigênio Puro Premium,Hidrogênio Líquido,222.0,Nacional Premium,1145,48.32,6.49
Ultra Oxigênio Puro Extra,Oxigênio Gasoso,165.0,Local,1484,,6.54
Hiper Oxigênio Puro Eficiente,Oxigênio Gasoso,222.0,Local,1140,,0.61
Hiper Oxigênio Puro Avançado,Hidrogênio Gasoso,225.0,Importado,1835,,1.48
Exclusivo Oxigênio Puro Eficiente,Oxigênio Líquido,195.0,Local,753,10.65,7.93
Avançado Oxigênio Puro Premium,Oxigênio Líquido,167.0,Importado Exclusivo,1239,50.17,8.34
Ultra Oxigênio Puro Poderoso,Hidrogênio Gasoso,164.0,Importado Exclusivo,264,,3.5
Hiper Oxigênio Puro Extra,Hidrogênio Gasoso,203.0,Importado Exclusivo,1930,,2.62
Mega Oxigênio Puro Eficiente,Hidrogênio Gasoso,227.0,Importado,1713,,8.7
Avançado Oxigênio Puro Premium,Hidrogênio Líquido,165.0,Importado Exclusivo,215,36.4,2.18
Hiper Oxigênio Puro Premium,Oxigênio Líquido,210.0,Importado Exclusivo,985,23.23,9.04
Max Oxigênio Puro Premium,Oxigênio Líquido,163.0,Importado Especial,623,69.34,9.09
Avançado Oxigênio Puro Avançado,Hidrogênio Líquido,182.0,Internacional,1826,68.36,0.08
Avançado Oxigênio Puro Extra,Hidrogênio Gasoso,220.0,Internacional,974,,6.14
Avançado Oxigênio Puro Puro,Hidrogênio Gasoso,169.0,Local,1707,,0.23
Plus Oxigênio Puro Extra,Oxigênio Líquido,162.0,Internacional,1799,5.95,2.67
Essencial Oxigênio Puro Poderoso,Oxigênio Líquido,187.0,Local,1448,22.82,8.49
Avançado Oxigênio Puro Extra,Oxigênio Líquido,199.0,Internacional,1153,56.75,1.54
Plus Oxigênio Puro Extra,Oxigênio Líquido,202.0,Nacional Premium,1981,56.53,7.47
Super Oxigênio Puro Essencial,Oxigênio Gasoso,169.0,Local,1867,,3.43
Plus Oxigênio Puro Essencial,Oxigênio Gasoso,166.0,Nacional Premium,1826,,5.16
Super Oxigênio Puro Eficiente,Oxigênio Gasoso,171.0,Importado,638,,6.87
Essencial Oxigênio Puro Puro,Oxigênio Gasoso,184.0,Internacional,172,,3.41
Max Oxigênio Puro Extra,Hidrogênio Líquido,160.0,Nacional Premium,725,97.88,1.22
Exclusivo Oxigênio Puro Avançado,Oxigênio Líquido,165.0,Local,683,59.22,3.29
Essencial Oxigênio Puro Natural,Oxigênio Gasoso,171.0,Importado,1539,,2.68
Essencial Oxigênio Puro Avançado,Hidrogênio Líquido,182.0,Importado Especial,1783,56.92,5.79
Exclusivo Oxigênio Puro Premium,Hidrogênio Líquido,208.0,Local,1945,85.12,0.52
Mega Oxigênio Puro Eficiente,Hidrogênio Gasoso,224.0,Internacional,578,,5.54
Mega Oxigênio Puro Eficiente,Oxigênio Gasoso,188.0,Importado Exclusivo,1266,,0.66
Mega Oxigênio Puro Premium,Hidrogênio Líquido,225.0,Nacional Premium,1796,41.14,9.3
Avançado Oxigênio Puro Poderoso,Hidrogênio Gasoso,228.0,Local,1482,,6.4
Exclusivo Oxigênio Puro Extra,Oxigênio Gasoso,229.0,Importado,1163,,5.1
Max Oxigênio Puro Verde,Oxigênio Líquido,167.0,Local,1342,94.52,2.3
Exclusivo Oxigênio Puro Extra,Hidrogênio Líquido,224.0,Local,129,40.13,7.68
